id,name,status,created_at,updated_at
1,gmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
2,googlemail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
3,yahoo.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
4,yahoo.co.in,1,2026-07-11 18:06:52,2026-07-11 18:06:52
5,yahoo.co.uk,1,2026-07-11 18:06:52,2026-07-11 18:06:52
6,ymail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
7,rocketmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
8,outlook.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
9,hotmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
10,hotmail.co.uk,1,2026-07-11 18:06:52,2026-07-11 18:06:52
11,live.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
12,msn.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
13,rediffmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
14,icloud.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
15,me.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
16,mac.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
17,aol.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
18,mail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
19,protonmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
20,proton.me,1,2026-07-11 18:06:52,2026-07-11 18:06:52
21,zoho.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
22,zohomail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
23,gmx.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
24,gmx.us,1,2026-07-11 18:06:52,2026-07-11 18:06:52
25,yandex.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
26,yandex.ru,1,2026-07-11 18:06:52,2026-07-11 18:06:52
27,tutanota.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
28,tutanota.de,1,2026-07-11 18:06:52,2026-07-11 18:06:52
29,inbox.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
30,fastmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
31,hushmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
32,mail.ru,1,2026-07-11 18:06:52,2026-07-11 18:06:52
33,qq.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
34,163.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
35,126.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
36,sina.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
37,naver.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
38,daum.net,1,2026-07-11 18:06:52,2026-07-11 18:06:52
39,web.de,1,2026-07-11 18:06:52,2026-07-11 18:06:52
40,t-online.de,1,2026-07-11 18:06:52,2026-07-11 18:06:52
41,libero.it,1,2026-07-11 18:06:52,2026-07-11 18:06:52
42,virgilio.it,1,2026-07-11 18:06:52,2026-07-11 18:06:52
43,orange.fr,1,2026-07-11 18:06:52,2026-07-11 18:06:52
44,wanadoo.fr,1,2026-07-11 18:06:52,2026-07-11 18:06:52
45,laposte.net,1,2026-07-11 18:06:52,2026-07-11 18:06:52
46,seznam.cz,1,2026-07-11 18:06:52,2026-07-11 18:06:52
47,rambler.ru,1,2026-07-11 18:06:52,2026-07-11 18:06:52
48,lycos.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
49,excite.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
50,mailinator.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
51,yopmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
52,guerrillamail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
53,temp-mail.org,1,2026-07-11 18:06:52,2026-07-11 18:06:52
54,10minutemail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
55,trashmail.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
56,dispostable.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
57,sharklasers.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
58,spamgourmet.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
59,getnada.com,1,2026-07-11 18:06:52,2026-07-11 18:06:52
60,yahoo.in,1,2026-07-11 18:06:52,2026-07-11 18:06:52
